municipio,id_distrito,nombre_distrito,year,quarter,price_m2,price_next_pred,delta_pred
mijas,3,La Cala de Mijas,2024,Q4,3761.0,3842.972253047801,81.97225304780113
mijas,6,Mijas Pueblo,2024,Q4,3243.67,3322.5060309535293,78.83603095352919
mijas,7,Mijas Golf,2024,Q4,2686.67,2762.78680681024,76.11680681023972
mijas,8,Campo de Mijas,2024,Q4,2385.0,2460.820370798881,75.82037079888096
mijas,10,Las Lagunas,2024,Q4,2777.33,2857.263812604795,79.9338126047951
mijas,11,Hipódromo - Cerrado del Águila,2024,Q4,2936.0,3008.1958974806557,72.19589748065573
mijas,12,Calaburra - Chaparral,2024,Q4,4038.33,4124.192183788803,85.86218378880312
rincon_de_la_victoria,1,La Cala del Moral,2024,Q4,2705.33,2777.8915950587925,72.56159505879259
rincon_de_la_victoria,2,Cotomar - Urbanizaciones,2024,Q4,2674.33,2745.4813023597035,71.15130235970355
rincon_de_la_victoria,4,Playa del Rincón,2024,Q4,3272.67,3352.1675244427947,79.49752444279466
rincon_de_la_victoria,5,Lo Cea - Los Cortijos,2024,Q4,3070.0,3149.8924122637927,79.89241226379272
rincon_de_la_victoria,6,Torre de Benagalbón,2024,Q4,3104.67,3197.860996788908,93.1909967889078
rincon_de_la_victoria,8,Añoreta Golf - Paraíso del Sol,2024,Q4,2330.67,2405.396526690705,74.72652669070476
rincon_de_la_victoria,9,Añoreta baja,2024,Q4,3065.0,3142.444341053846,77.44434105384607
torremolinos,1,El Pinillo,2024,Q4,3083.0,3170.4347600759775,87.43476007597747
torremolinos,2,La Leala - El saltillo,2024,Q4,3042.67,3134.0997333566966,91.42973335669649
torremolinos,3,La Carihuela - Los Nidos,2024,Q4,4068.33,4170.458914689361,102.12891468936141
torremolinos,4,Montemar,2024,Q4,3238.33,3333.1745615995083,94.84456159950832
torremolinos,5,Centro,2024,Q4,3167.67,3261.2460038533136,93.57600385331352
torremolinos,6,El Pinar - Palacio de Congresos,2024,Q4,2611.0,2704.545395142419,93.54539514241878
torremolinos,7,Playamar,2024,Q4,4104.0,4217.696295885878,113.69629588587759
torremolinos,8,El Bajondillo,2024,Q4,4123.67,4230.492387633211,106.82238763321129
